target_id,q_input_0,q_input_1,q_input_2,q_input_3,assumed_order,quat_norm,det_R,orthogonality_error,rot_diff_if_wxyz_vs_xyzw_deg,target_frame,notes
0,-0.024760962950125243,0.774177970571442,-0.4868920023294738,-0.4036973404213379,wxyz/current,1.0,1.0,1.215155319542802e-16,158.14607540748833,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
1,0.6633249933141141,0.3671819211653603,0.6033929955626692,-0.24717257720073676,wxyz/current,0.9999999999999999,0.9999999999999997,4.440892098500626e-16,162.5122190723283,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
2,0.5493733853298044,0.16170976600503503,0.7761316936858862,0.26392883344974805,wxyz/current,1.0,1.0000000000000002,4.440892098500626e-16,111.30841304846709,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
3,0.7282297470449665,0.20433964250749406,-0.5165029880424066,-0.4014366816348492,wxyz/current,0.9999999999999999,0.9999999999999999,3.3306690738754696e-16,175.21662302177117,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
4,0.5740078614836037,-0.08228697363147067,-0.38044616622106314,0.7204196995733034,wxyz/current,0.9999999999999999,0.9999999999999997,3.3306690738754696e-16,165.80963356478605,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
5,0.5695439482493061,-0.8074994966462876,-0.13365689380749912,0.07549893155743805,wxyz/current,0.9999999999999999,1.0000000000000002,2.220446049250313e-16,142.7866684603139,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
6,-0.2441867500399243,0.36338278579973277,0.7400087349065815,-0.5106004840884172,wxyz/current,1.0,0.9999999999999999,2.220446049250313e-16,171.62808429754364,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
7,0.06671674558714963,-0.45574325840749375,0.48229939736674005,0.7451404227218245,wxyz/current,0.9999999999999999,1.0,2.220446049250313e-16,161.71578201520978,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
8,0.5714053800076387,-0.8006815568489662,-0.13559570887720163,0.11840075993983576,wxyz/current,0.9999999999999999,0.9999999999999997,3.3306690738754696e-16,145.4036371481626,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
9,-0.15122316348971104,-0.5386905843992958,0.29271266808007973,0.7754116990664703,wxyz/current,1.0,1.0000000000000004,2.220446049250313e-16,176.16120355003792,base_link -> tool0,cuRobo Pose quaternion is wxyz in this installed API; xyzw is tested as a negative-control input.
