target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[-0.0009384327887952186, -1.5687515019248732, 1.5750492352298295, -0.000444863358164812, 1.573697337239348, 0.002431060673081055]","[0.6652142462487046, 0.16304934031596893, 0.6194569040110182]","[0.003853601345030028, 0.005843482687091981, 0.9999755014332897, 0.999989661037177, -0.0024365324257723964, -0.0038394177279737845, 0.0024140371631982934, 0.9999799583090772, -0.005852811696174891]","[0.4988898318324102, 0.5030265762032304, 0.4998906575255663, 0.49817921458662023]","[0.003853601345030028, 0.005843482687091981, 0.9999755014332897, 0.6652142462487046, 0.999989661037177, -0.0024365324257723964, -0.0038394177279737845, 0.16304934031596893, 0.0024140371631982934, 0.9999799583090772, -0.005852811696174891, 0.6194569040110182, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[0.0028484343029134317, -1.574131036842973, 1.5661381944119266, 0.007995283007378938, 1.58107470577767, -0.004455132357773562]","[0.6619687653336495, 0.1648795910928497, 0.628170627188983]","[0.007429791712655342, 3.554130885263904e-05, 0.9999723980850281, 0.9999624742433758, 0.004455002013761991, -0.007429876319516699, -0.0044551431147042166, 0.9999900757976916, -2.440238096420908e-06]","[0.502961816017956, 0.5007437543137683, 0.49925635963380655, 0.4970193069779801]","[0.007429791712655342, 3.554130885263904e-05, 0.9999723980850281, 0.6619687653336495, 0.9999624742433758, 0.004455002013761991, -0.007429876319516699, 0.1648795910928497, -0.0044551431147042166, 0.9999900757976916, -2.440238096420908e-06, 0.628170627188983, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[0.002572719922165469, -1.5674227151511175, 1.5685627829615596, 0.0027886531803966207, 1.5700068064020534, 0.0018835410745233585]","[0.6656848168156021, 0.16572696101512, 0.6225827225319991]","[-0.003354822064753484, 0.003935023597926607, 0.9999866302897243, 0.9999925928766714, -0.001873421461264154, 0.0033622141246603733, 0.001886626806083813, 0.9999905028955586, -0.003928709455066685]","[0.4977054970107614, 0.5006114533377102, 0.5013507031157322, 0.5003247780369644]","[-0.003354822064753484, 0.003935023597926607, 0.9999866302897243, 0.6656848168156021, 0.9999925928766714, -0.001873421461264154, 0.0033622141246603733, 0.16572696101512, 0.001886626806083813, 0.9999905028955586, -0.003928709455066685, 0.6225827225319991, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[-0.0032074809998998274, -1.5729601494819996, 1.565302244361234, 0.0008032928224612298, 1.5689600936051076, -0.0026102923529389764]","[0.6644726761918491, 0.16197985407296642, 0.6286158508717954]","[0.0013891781381275895, -0.00685092074732173, 0.9999755672360272, 0.9999955955031038, 0.0026322730986465923, -0.0013711720266351513, -0.00262281499405384, 0.9999730676489482, 0.006854547268704784]","[0.5027116465990914, 0.49797147452709983, 0.49859516335695986, 0.5007077730652706]","[0.0013891781381275895, -0.00685092074732173, 0.9999755672360272, 0.6644726761918491, 0.9999955955031038, 0.0026322730986465923, -0.0013711720266351513, 0.16197985407296642, -0.00262281499405384, 0.9999730676489482, 0.006854547268704784, 0.6286158508717954, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[0.005419007063063638, -1.5711934876183387, 1.572727335757273, 0.005636774706311598, 1.5639440984492436, 0.006367394710219345]","[0.6625205380603738, 0.16816542562745615, 0.6220639950409007]","[-0.012224845715613138, 0.007248442735512826, 0.9998990015122224, 0.9999046874468636, -0.0063280155353010546, 0.012270788123637674, 0.006416320520335153, 0.99995370707713, -0.007170392854324382]","[0.49352729050549, 0.5003182893603861, 0.5032562029013246, 0.5028375653221897]","[-0.012224845715613138, 0.007248442735512826, 0.9998990015122224, 0.6625205380603738, 0.9999046874468636, -0.0063280155353010546, 0.012270788123637674, 0.16816542562745615, 0.006416320520335153, 0.99995370707713, -0.007170392854324382, 0.6220639950409007, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[-0.002545458011975369, -1.5721799002904555, 1.5672770113120809, 0.007496544629186202, 1.5749686349392111, 0.003553529202622247]","[0.6637593527455692, 0.16186726904346926, 0.6261665827960762]","[0.006726875752021474, 0.0025697562619734116, 0.9999740724115658, 0.9999710988347403, -0.0035600431157341013, -0.006717707068328222, 0.003542687942596448, 0.9999903611764304, -0.002593629960734391]","[0.5001432801396898, 0.5032098341717125, 0.4980729643066815, 0.49855780442266123]","[0.006726875752021474, 0.0025697562619734116, 0.9999740724115658, 0.6637593527455692, 0.9999710988347403, -0.0035600431157341013, -0.006717707068328222, 0.16186726904346926, 0.003542687942596448, 0.9999903611764304, -0.002593629960734391, 0.6261665827960762, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[0.0024472383594881667, -1.5821971977874139, 1.566678318606259, 0.006176393796820793, 1.5704510538910403, -0.0046149424242481855]","[0.658127532872647, 0.16558392341619263, 0.6333077384432737]","[-0.002749348703599359, -0.009355109372183944, 0.9999524603751623, 0.9999855577023201, 0.004592045769193599, 0.0027924008367880135, -0.004617950680299624, 0.9999456960476845, 0.009342349127827162]","[0.50278848589477, 0.4958115207413448, 0.499499510846849, 0.5018714108370372]","[-0.002749348703599359, -0.009355109372183944, 0.9999524603751623, 0.658127532872647, 0.9999855577023201, 0.004592045769193599, 0.0027924008367880135, 0.16558392341619263, -0.004617950680299624, 0.9999456960476845, 0.009342349127827162, 0.6333077384432737, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[0.004313978142732226, -1.5642278512529102, 1.5782017261672874, 0.008032962392018707, 1.573134260756169, -0.004835033526087153]","[0.6651829378360288, 0.1665965687278165, 0.6135889639494201]","[-0.002082979701249416, 0.021995041916656154, 0.9997559098733294, 0.9999858974687814, 0.004929933594000233, 0.001974998307503838, -0.004885290075325924, 0.9997459246657839, -0.02200500068249568]","[0.49518732647611624, 0.5037340785045334, 0.5072026010327987, 0.49374792288797364]","[-0.002082979701249416, 0.021995041916656154, 0.9997559098733294, 0.6651829378360288, 0.9999858974687814, 0.004929933594000233, 0.001974998307503838, 0.1665965687278165, -0.004885290075325924, 0.9997459246657839, -0.02200500068249568, 0.6135889639494201, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[-0.0024024986228609224, -1.5797827320121232, 1.5681131612958632, 0.016522711670013287, 1.565722423904907, 0.00021336623225482495]","[0.6587907395148, 0.16282653951382192, 0.6298075431758999]","[-0.002670305788441546, 0.004853677556135308, 0.9999846555228623, 0.9999964064080231, -0.0002250246668231331, 0.0026714293813140913, 0.00023798747076816222, 0.9999881955193672, -0.004853059229328223]","[0.498059135624327, 0.5006015826252724, 0.5018212680703527, 0.49951032802784373]","[-0.002670305788441546, 0.004853677556135308, 0.9999846555228623, 0.6587907395148, 0.9999964064080231, -0.0002250246668231331, 0.0026714293813140913, 0.16282653951382192, 0.00023798747076816222, 0.9999881955193672, -0.004853059229328223, 0.6298075431758999, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[-0.0004311682222443878, -1.58103829852569, 1.5621459377292006, 0.011866099525461195, 1.5658153543466176, -0.012165395885535314]","[0.6590102279563552, 0.164116114836616, 0.6350300202694682]","[-0.004463854480292076, -0.007081030206598292, 0.9999649658935016, 0.9999156159967488, 0.012167999561448458, 0.004549799172978361, -0.01219979053183377, 0.9999008944879916, 0.007026116501563756]","[0.5036691030782809, 0.49405010612707484, 0.5023956950303656, 0.4998304641126846]","[-0.004463854480292076, -0.007081030206598292, 0.9999649658935016, 0.6590102279563552, 0.9999156159967488, 0.012167999561448458, 0.004549799172978361, 0.164116114836616, -0.01219979053183377, 0.9999008944879916, 0.007026116501563756, 0.6350300202694682, 0.0, 0.0, 0.0, 1.0]",True,True
10,"[0.014221627704678096, -1.5832293976265224, 1.5651966048450445, 0.014531732511610607, 1.573952172276843, 0.00882606438489872]","[0.6548084047820943, 0.17297965172797256, 0.6341958113098372]","[-0.01109604172363392, -0.0034028987160932256, 0.9999326468009709, 0.9998993880813245, -0.008875196070501195, 0.011065469231024486, 0.008836943626614618, 0.9999548245671093, 0.003501035889828052]","[0.4958653542282655, 0.49856747749352825, 0.4996798499447684, 0.5058340324859437]","[-0.01109604172363392, -0.0034028987160932256, 0.9999326468009709, 0.6548084047820943, 0.9998993880813245, -0.008875196070501195, 0.011065469231024486, 0.17297965172797256, 0.008836943626614618, 0.9999548245671093, 0.003501035889828052, 0.6341958113098372, 0.0, 0.0, 0.0, 1.0]",True,True
11,"[-0.0009072675854700299, -1.5842474943788216, 1.5595288736398205, 0.01982511240519433, 1.5789814959440207, 4.7505162553153e-05]","[0.6568030696256981, 0.16259050677582937, 0.6381422109829086]","[0.009091980976256856, -0.004893918915769877, 0.999946691298878, 0.9999586632534188, -4.306308364384689e-05, -0.009092300589317565, 8.75577698487184e-05, 0.9999880237798933, 0.004893325088346601]","[0.5034734955737391, 0.5010593076102753, 0.49648052098036866, 0.49896002024103436]","[0.009091980976256856, -0.004893918915769877, 0.999946691298878, 0.6568030696256981, 0.9999586632534188, -4.306308364384689e-05, -0.009092300589317565, 0.16259050677582937, 8.75577698487184e-05, 0.9999880237798933, 0.004893325088346601, 0.6381422109829086, 0.0, 0.0, 0.0, 1.0]",True,True
12,"[-5.0988751470023436e-05, -1.5782000900317437, 1.5574271679657012, 0.025634320392548985, 1.5749572869891382, -0.0009410608101061667]","[0.6592894544443868, 0.1635237445239717, 0.635023866670762]","[0.004207310605317997, 0.00486534045564039, 0.9999793132858906, 0.9999906871977712, 0.0009408048592941995, -0.004211935890522816, -0.0009612778992177672, 0.9999877215988543, -0.00486133688742491]","[0.5000716895049117, 0.5020278484888684, 0.5003985489440895, 0.4974913435548309]","[0.004207310605317997, 0.00486534045564039, 0.9999793132858906, 0.6592894544443868, 0.9999906871977712, 0.0009408048592941995, -0.004211935890522816, 0.1635237445239717, -0.0009612778992177672, 0.9999877215988543, -0.00486133688742491, 0.635023866670762, 0.0, 0.0, 0.0, 1.0]",True,True
13,"[0.0017498037541886311, -1.5807395090772358, 1.5634656534908735, 0.016653224890635646, 1.5675776439061482, 0.0016201256653868138]","[0.6581124116204862, 0.16538958230685316, 0.6335123270310493]","[-0.004969464558431029, -0.0006125795619746307, 0.9999874645055721, 0.999986342950853, -0.0016211905302740731, 0.004968465864200563, 0.001618126627206436, 0.9999984982426448, 0.0006206276448281081]","[0.498505258888039, 0.4990067881118991, 0.500681447225511, 0.5017995821873343]","[-0.004969464558431029, -0.0006125795619746307, 0.9999874645055721, 0.6581124116204862, 0.999986342950853, -0.0016211905302740731, 0.004968465864200563, 0.16538958230685316, 0.001618126627206436, 0.9999984982426448, 0.0006206276448281081, 0.6335123270310493, 0.0, 0.0, 0.0, 1.0]",True,True
14,"[0.014220010331640592, -1.5911068308608072, 1.562699108586731, 0.03130964730101631, 1.5680684745751976, -0.01151504008849509]","[0.6491028262517997, 0.17343998081053788, 0.639462258183457]","[-0.016979327829565415, 0.002706293451437131, 0.9998521782754741, 0.9997896256075232, 0.011554393586686399, 0.016946991367579104, -0.011506822064540925, 0.9999295835030579, -0.0029019099531765956]","[0.49791393729337, 0.4935504504447658, 0.5077980975174652, 0.5006303587203094]","[-0.016979327829565415, 0.002706293451437131, 0.9998521782754741, 0.6491028262517997, 0.9997896256075232, 0.011554393586686399, 0.016946991367579104, 0.17343998081053788, -0.011506822064540925, 0.9999295835030579, -0.0029019099531765956, 0.639462258183457, 0.0, 0.0, 0.0, 1.0]",True,True
15,"[0.01704551071869254, -1.5903049753729408, 1.5600107730683557, 0.040114939603899925, 1.5760992004270993, -0.01911325223001261]","[0.6482763064770142, 0.17452709681841277, 0.639918398895825]","[-0.011928142600454095, 0.009592933034719631, 0.999882840661792, 0.9997452124642657, 0.019278129293577546, 0.011741545286722421, -0.019163234823047964, 0.9997681378033265, -0.00982044115023503]","[0.4993820044672437, 0.49462464790389377, 0.5101535830130635, 0.4956888066510685]","[-0.011928142600454095, 0.009592933034719631, 0.999882840661792, 0.6482763064770142, 0.9997452124642657, 0.019278129293577546, 0.011741545286722421, 0.17452709681841277, -0.019163234823047964, 0.9997681378033265, -0.00982044115023503, 0.639918398895825, 0.0, 0.0, 0.0, 1.0]",True,True
