target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[0.002183098940349632, -1.5752586456685058, 1.573580566188917, -0.00032089528750884174, 1.5676311494655784, 0.008537882159234837]","[0.6616387855528403, 0.16567764552821207, 0.6247388068603749]","[-0.005365116271650889, -0.001953233894835362, 0.9999837000695281, 0.9999492137901888, -0.00854201970886936, 0.005348246411349192, 0.008531434098373437, 0.9999616086513748, 0.0019989636264217854]","[0.49701404096008733, 0.5002943982823506, 0.49870435453692397, 0.5039608366745728]","[-0.005365116271650889, -0.001953233894835362, 0.9999837000695281, 0.6616387855528403, 0.9999492137901888, -0.00854201970886936, 0.005348246411349192, 0.16567764552821207, 0.008531434098373437, 0.9999616086513748, 0.0019989636264217854, 0.6247388068603749, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[0.0005980411054377919, -1.5724433059150973, 1.5655742119930072, 0.0013029990555305576, 1.5687041642624389, 0.001475409721345707]","[0.6640226337105428, 0.16453103955249446, 0.6280453039283501]","[-0.0026983772787744294, -0.005562090178922799, 0.9999808907738702, 0.9999952881003255, -0.0014787321700441673, 0.002690191130081785, 0.0014637408269526913, 0.9999834381148573, 0.005566054148200936]","[0.5003471156855465, 0.49830068752287227, 0.4989122144627573, 0.502429886550606]","[-0.0026983772787744294, -0.005562090178922799, 0.9999808907738702, 0.6640226337105428, 0.9999952881003255, -0.0014787321700441673, 0.002690191130081785, 0.16453103955249446, 0.0014637408269526913, 0.9999834381148573, 0.005566054148200936, 0.6280453039283501, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[-0.007370972876316977, -1.5648442925383523, 1.571913102938595, -0.00010911624686904244, 1.5657880710218324, 0.01617870646079971]","[0.6685133750413803, 0.15947954233551148, 0.6189048444576918]","[0.0024751169282902614, 0.00692031193917571, 0.9999729911746896, 0.9998655059339681, -0.01622924721571344, -0.002362536395812739, 0.01621245939398379, 0.9998443482950112, -0.006959550482801818]","[0.49479448239389634, 0.5063753337759466, 0.4970551242917627, 0.501695769317577]","[0.0024751169282902614, 0.00692031193917571, 0.9999729911746896, 0.6685133750413803, 0.9998655059339681, -0.01622924721571344, -0.002362536395812739, 0.15947954233551148, 0.01621245939398379, 0.9998443482950112, -0.006959550482801818, 0.6189048444576918, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[0.0030343822184807877, -1.5747188339295655, 1.5609878456801698, 0.002969343442843364, 1.5701313463840805, 0.002396265842689677]","[0.662784522341468, 0.16601421403757252, 0.6324521934985862]","[-0.0037250921834604874, -0.010752492316491473, 0.9999352517024331, 0.9999902082115049, -0.002428900912992836, 0.0036991784852505433, 0.0023889682575537743, 0.9999392403288003, 0.010761434910166305]","[0.5011505367186871, 0.4969764516099746, 0.4976280630049669, 0.5042111234410194]","[-0.0037250921834604874, -0.010752492316491473, 0.9999352517024331, 0.662784522341468, 0.9999902082115049, -0.002428900912992836, 0.0036991784852505433, 0.16601421403757252, 0.0023889682575537743, 0.9999392403288003, 0.010761434910166305, 0.6324521934985862, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[0.00953475280008764, -1.5612457697398645, 1.5677108375954423, 0.0032276531796674814, 1.5585242132892223, 0.0021189731459792496]","[0.6675958680976602, 0.17144551879349196, 0.6189840037219879]","[-0.021783975284851896, 0.009738309964122184, 0.9997152713347095, 0.9997601965458198, -0.0020260527147218247, 0.021804690161999322, 0.0022378166709057486, 0.9999505289910295, -0.009691839201491602]","[0.491553184507774, 0.49747711420510626, 0.5073090186887135, 0.5035171766678079]","[-0.021783975284851896, 0.009738309964122184, 0.9997152713347095, 0.6675958680976602, 0.9997601965458198, -0.0020260527147218247, 0.021804690161999322, 0.17144551879349196, 0.0022378166709057486, 0.9999505289910295, -0.009691839201491602, 0.6189840037219879, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[-0.0025572626874042553, -1.562004670067901, 1.5748811249293178, 0.0008755768603473386, 1.567978039198916, -0.00044872973093625063]","[0.6686505556961012, 0.16249146390903876, 0.614950404930959]","[-0.00026692912313043635, 0.013751434702063045, 0.9999054089225029, 0.9999998803523776, 0.00041356370314960526, 0.00026126671043365045, -0.00040993179160495963, 0.9999053590258923, -0.013751543448933218]","[0.4965871250674662, 0.5032571536060498, 0.5035950844366964, 0.49651329840474756]","[-0.00026692912313043635, 0.013751434702063045, 0.9999054089225029, 0.6686505556961012, 0.9999998803523776, 0.00041356370314960526, 0.00026126671043365045, 0.16249146390903876, -0.00040993179160495963, 0.9999053590258923, -0.013751543448933218, 0.614950404930959, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[0.00439217847912917, -1.564461050213042, 1.5653197828673617, 0.006196424435909795, 1.5689011877966825, 0.007508706888157442]","[0.6668309549528929, 0.1670461742022581, 0.622448666421948]","[-0.00623407799558827, 0.007102039936629028, 0.9999553476532256, 0.9999522781161224, -0.007477501235379578, 0.006287166742791567, 0.007521819056696963, 0.9999468225880882, -0.0070550856879904155]","[0.4947810968198567, 0.5020703409204187, 0.5014508107601878, 0.5016613632578697]","[-0.00623407799558827, 0.007102039936629028, 0.9999553476532256, 0.6668309549528929, 0.9999522781161224, -0.007477501235379578, 0.006287166742791567, 0.1670461742022581, 0.007521819056696963, 0.9999468225880882, -0.0070550856879904155, 0.622448666421948, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[0.005994354609673387, -1.5725575576466277, 1.574503574566605, -0.00831486681884233, 1.5719066031709235, -0.003916023007914285]","[0.6631619545755645, 0.16781685174265187, 0.6230748961605467]","[-0.0048591039995439355, -0.006387769921483731, 0.9999677922332058, 0.9999805547604842, 0.0038777903357975776, 0.004883937246283528, -0.0039088629082709905, 0.9999720791789848, 0.0063688031232375705]","[0.5013450631699417, 0.49620920551250886, 0.5005916727264108, 0.5018341650353689]","[-0.0048591039995439355, -0.006387769921483731, 0.9999677922332058, 0.6631619545755645, 0.9999805547604842, 0.0038777903357975776, 0.004883937246283528, 0.16781685174265187, -0.0039088629082709905, 0.9999720791789848, 0.0063688031232375705, 0.6230748961605467, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[0.009003862864374726, -1.5755814915581057, 1.5643662000336824, 0.0036978920836098312, 1.5661907162399964, -0.0020112246983642014]","[0.6608949141485881, 0.17032306660462615, 0.6307077295675995]","[-0.013593777235471923, -0.007544379516321061, 0.9998791384753388, 0.9999055075202826, 0.0019433535531881757, 0.013608798902676038, -0.0020457886201978633, 0.999969652396852, 0.00751724911390083]","[0.4989656364499506, 0.4942027974671528, 0.5020009665515494, 0.5047691731861665]","[-0.013593777235471923, -0.007544379516321061, 0.9998791384753388, 0.6608949141485881, 0.9999055075202826, 0.0019433535531881757, 0.013608798902676038, 0.17032306660462615, -0.0020457886201978633, 0.999969652396852, 0.00751724911390083, 0.6307077295675995, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[0.015166323823031732, -1.5745507577261182, 1.5625436779302873, 0.00801684392315093, 1.5671710506071388, 0.007844935211594933]","[0.6600538072440739, 0.1743055020923903, 0.630835990783324]","[-0.018821186142054424, -0.003842235352789701, 0.9998154830666007, 0.9997922028782436, -0.007903982145470006, 0.018790373336184343, 0.007830326690198477, 0.999961381401171, 0.003990199266565645]","[0.49428358029046476, 0.49625915526488035, 0.5017287625625072, 0.5076207658168866]","[-0.018821186142054424, -0.003842235352789701, 0.9998154830666007, 0.6600538072440739, 0.9997922028782436, -0.007903982145470006, 0.018790373336184343, 0.1743055020923903, 0.007830326690198477, 0.999961381401171, 0.003990199266565645, 0.630835990783324, 0.0, 0.0, 0.0, 1.0]",True,True
