target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[0.00014284435040801908, -1.5775567383653315, 1.5700619208019069, 0.0008339505658746936, 1.5753882874537144, 0.009128738629602258]","[0.6610908609437164, 0.16361205755770528, 0.6284919463568244]","[0.004388010370443343, -0.0067011535389265514, 0.9999679194385371, 0.99994842776932, -0.00912947250196021, -0.004449104797705253, 0.009158993757716687, 0.9999358715803147, 0.006660747725475141]","[0.5004795913905876, 0.5017112553917165, 0.49492973476093594, 0.5028424728125579]","[0.004388010370443343, -0.0067011535389265514, 0.9999679194385371, 0.6610908609437164, 0.99994842776932, -0.00912947250196021, -0.004449104797705253, 0.16361205755770528, 0.009158993757716687, 0.9999358715803147, 0.006660747725475141, 0.6284919463568244, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[-0.007596287905892326, -1.5779145605014624, 1.563972516275857, 0.0013002948707870345, 1.564504602097286, -0.0002296652876691452]","[0.6627721270271499, 0.1594911353793269, 0.6327380289601989]","[0.001307968744128208, -0.012640748051091492, 0.9999192470927204, 0.9999990968113779, 0.0003256923836559912, -0.00130395586564888, -0.0003091831054817218, 0.9999200495105497, 0.0126411626295697]","[0.5035560603739553, 0.49707673294243576, 0.4965824606774683, 0.502744343951721]","[0.001307968744128208, -0.012640748051091492, 0.9999192470927204, 0.6627721270271499, 0.9999990968113779, 0.0003256923836559912, -0.00130395586564888, 0.1594911353793269, -0.0003091831054817218, 0.9999200495105497, 0.0126411626295697, 0.6327380289601989, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[0.0015349903293136618, -1.5780749145968351, 1.5716422509893562, 0.0016111098341719389, 1.5627731052370506, -0.0032384004825704357]","[0.6603339539257633, 0.16569453420977426, 0.6277110529168015]","[-0.00954230895503741, -0.004852456825720241, 0.9999426973594842, 0.9999491013749999, 0.003230846335140378, 0.009558048508401787, -0.0032770412168394323, 0.9999830075029841, 0.004821380108423779]","[0.4996273404970265, 0.49558184606616645, 0.5019840075096401, 0.5027755072416319]","[-0.00954230895503741, -0.004852456825720241, 0.9999426973594842, 0.6603339539257633, 0.9999491013749999, 0.003230846335140378, 0.009558048508401787, 0.16569453420977426, -0.0032770412168394323, 0.9999830075029841, 0.004821380108423779, 0.6277110529168015, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[-0.0071724839025190295, -1.5715309516172318, 1.5663102395634563, 0.015308680827712327, 1.573115981968743, -0.0011683659583535235]","[0.664027782418542, 0.1589685293317191, 0.6256634295157717]","[0.009480086093482897, 0.010098621088946304, 0.9999040683084365, 0.9999543528594177, 0.0010959595741164363, -0.009491631583401557, -0.0011917068277372538, 0.9999484070314396, -0.01008777032465217]","[0.5001220539385729, 0.5045968432432021, 0.5004257297055393, 0.4948070795794428]","[0.009480086093482897, 0.010098621088946304, 0.9999040683084365, 0.664027782418542, 0.9999543528594177, 0.0010959595741164363, -0.009491631583401557, 0.1589685293317191, -0.0011917068277372538, 0.9999484070314396, -0.01008777032465217, 0.6256634295157717, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[-0.0021706731294832866, -1.5733965328997233, 1.5699798945345746, -0.0036153046279753616, 1.5694284777777379, 0.001814037462873898]","[0.6640711307491012, 0.16262601862333115, 0.6262044691926262]","[0.0007901004589334471, -0.007033313521557669, 0.9999749538074302, 0.9999980599883858, -0.0017987715860550788, -0.0008027703569887259, 0.0018043726692820597, 0.9999736481136333, 0.007031878666592092]","[0.5015035412485814, 0.49888801182690196, 0.49758899939820295, 0.5020061129592233]","[0.0007901004589334471, -0.007033313521557669, 0.9999749538074302, 0.6640711307491012, 0.9999980599883858, -0.0017987715860550788, -0.0008027703569887259, 0.16262601862333115, 0.0018043726692820597, 0.9999736481136333, 0.007031878666592092, 0.6262044691926262, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[-0.009610798397609586, -1.5790990418541795, 1.5768154259175584, 0.005853233552919078, 1.569802051856802, 0.0009091757991576952]","[0.6605496933172706, 0.15769164274006622, 0.6245574374885309]","[0.008619664863315868, 0.0035616096601630187, 0.9999565072113252, 0.9999624334555386, -0.0009434477715619399, -0.008616355608929137, 0.0009127186430152238, 0.9999932123984298, -0.0035696080664022736]","[0.5010256004001571, 0.5032724711081662, 0.49849937197340705, 0.49718059466401227]","[0.008619664863315868, 0.0035616096601630187, 0.9999565072113252, 0.6605496933172706, 0.9999624334555386, -0.0009434477715619399, -0.008616355608929137, 0.15769164274006622, 0.0009127186430152238, 0.9999932123984298, -0.0035696080664022736, 0.6245574374885309, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[-0.006491735143319319, -1.5731370999761498, 1.5786255213488096, -0.0049633660162658345, 1.5751279913026086, -0.0015420465330467658]","[0.6640448931790291, 0.15923420382888337, 0.6204089218637654]","[0.010822365225137543, 0.0005417332945309189, 0.9999412897445387, 0.9999402439572125, 0.0015385475208114384, -0.010823187437934716, -0.0015443204732815301, 0.999998669697397, -0.0005250501995065412]","[0.5029502615931427, 0.502446232920457, 0.49780549225957227, 0.49676806385237376]","[0.010822365225137543, 0.0005417332945309189, 0.9999412897445387, 0.6640448931790291, 0.9999402439572125, 0.0015385475208114384, -0.010823187437934716, 0.15923420382888337, -0.0015443204732815301, 0.999998669697397, -0.0005250501995065412, 0.6204089218637654, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[-0.009758994310972114, -1.5756254800093024, 1.5679629953200138, -0.0018259942360558225, 1.573297086400614, -0.003913705944488191]","[0.6641872014311226, 0.15723622141854723, 0.6288580910963238]","[0.012296373052280117, -0.009439832958973311, 0.999879837162179, 0.9999168309040859, 0.004005996700236451, -0.012259007511497359, -0.0038897923451533148, 0.9999474193897118, 0.009488307086472844]","[0.5064066243738794, 0.49970042757275346, 0.4955353964555618, 0.4982935724384661]","[0.012296373052280117, -0.009439832958973311, 0.999879837162179, 0.6641872014311226, 0.9999168309040859, 0.004005996700236451, -0.012259007511497359, 0.15723622141854723, -0.0038897923451533148, 0.9999474193897118, 0.009488307086472844, 0.6288580910963238, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[-0.009376751099673716, -1.5749658445436823, 1.5748837543291383, -0.005916773640545613, 1.571379806219325, 0.0012094297539573169]","[0.6641482267054558, 0.15766667316981792, 0.624196834091099]","[0.009952793217063802, -0.006010605957156163, 0.9999324049770594, 0.9999497341179853, -0.001153120405586767, -0.009959897122987888, 0.001212907477366592, 0.9999812712892968, 0.005998827059795103]","[0.5036860380910096, 0.5012751456442998, 0.49570537099106415, 0.49929929757819547]","[0.009952793217063802, -0.006010605957156163, 0.9999324049770594, 0.6641482267054558, 0.9999497341179853, -0.001153120405586767, -0.009959897122987888, 0.15766667316981792, 0.001212907477366592, 0.9999812712892968, 0.005998827059795103, 0.624196834091099, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[-0.01343094404756041, -1.5715117525042388, 1.5796723482457924, -0.010035040201914803, 1.5750306869372301, 0.007348085230419186]","[0.6663956487195968, 0.15461448492036953, 0.6191026116450334]","[0.017650128894243708, -0.0020040220861614493, 0.999842215974848, 0.9998171648147703, -0.007321698091787016, -0.017664361828453184, 0.0073559426160333145, 0.9999711879011968, 0.0018744267653673426]","[0.5030414638893658, 0.505741386535812, 0.4932427764926217, 0.49788201312231334]","[0.017650128894243708, -0.0020040220861614493, 0.999842215974848, 0.6663956487195968, 0.9998171648147703, -0.007321698091787016, -0.017664361828453184, 0.15461448492036953, 0.0073559426160333145, 0.9999711879011968, 0.0018744267653673426, 0.6191026116450334, 0.0, 0.0, 0.0, 1.0]",True,True
