target_id,q_sampled,position_xyz,rotation_matrix,quaternion_wxyz,transform_row_major,within_joint_limits,fk_verified
0,"[-0.00341632954095262, -1.5648497035521296, 1.5810478646897865, -0.005551720131488077, 1.5743985466928614, -0.014389250756701945]","[0.6673816894956951, 0.16132982623790373, 0.6133443570035731]","[0.006864375878545084, 0.010746059839612496, 0.9999186979658503, 0.9998723731750505, 0.014352033011480216, -0.007018298207528447, -0.014426285214512547, 0.9998392577541456, -0.010646170604902364]","[0.5026356131147899, 0.5007890058377797, 0.504513088962476, 0.4919698721733558]","[0.006864375878545084, 0.010746059839612496, 0.9999186979658503, 0.6673816894956951, 0.9998723731750505, 0.014352033011480216, -0.007018298207528447, 0.16132982623790373, -0.014426285214512547, 0.9998392577541456, -0.010646170604902364, 0.6133443570035731, 0.0, 0.0, 0.0, 1.0]",True,True
1,"[0.003299881971288503, -1.5802221250139667, 1.568054455571046, -0.006354841462446, 1.569718700088739, 0.004179601067597066]","[0.6602712843350995, 0.16622007559873497, 0.6322637224779026]","[-0.004454683241334984, -0.018502894029526262, 0.9998188829531837, 0.9999814294495764, -0.004240666406241551, 0.004376928650677307, 0.00415891250226724, 0.9998198135969117, 0.01852144124617168]","[0.5024505178618575, 0.49529398893958304, 0.4954020023145149, 0.5067585201291016]","[-0.004454683241334984, -0.018502894029526262, 0.9998188829531837, 0.6602712843350995, 0.9999814294495764, -0.004240666406241551, 0.004376928650677307, 0.16622007559873497, 0.00415891250226724, 0.9998198135969117, 0.01852144124617168, 0.6322637224779026, 0.0, 0.0, 0.0, 1.0]",True,True
2,"[-0.009458029932889049, -1.5728917271827076, 1.56776461870527, 0.008740488794972965, 1.5729568428590341, -0.0059431533773426385]","[0.6643102167520737, 0.15746587136136994, 0.6262004909128793]","[0.011596591572317697, 0.003682195584605631, 0.9999259775101266, 0.9999150493979376, 0.00590854340448769, -0.011618222857101007, -0.005950886608298744, 0.9999757649815889, -0.003613363815224653]","[0.503460964515021, 0.5023199707315683, 0.4994810596127232, 0.4946922025886324]","[0.011596591572317697, 0.003682195584605631, 0.9999259775101266, 0.6643102167520737, 0.9999150493979376, 0.00590854340448769, -0.011618222857101007, 0.15746587136136994, -0.005950886608298744, 0.9999757649815889, -0.003613363815224653, 0.6262004909128793, 0.0, 0.0, 0.0, 1.0]",True,True
3,"[-0.002739548174180593, -1.5636815881067638, 1.5733295746329952, -0.0027250997386932202, 1.569464796797665, -0.001303044073251904]","[0.6684712381630414, 0.16223306902624707, 0.6174275414845124]","[0.0013990277044767492, 0.006924634180220739, 0.9999750457701192, 0.9999981844064162, 0.001284077432686607, -0.0014079520652509547, -0.0012937949425183165, 0.9999751999857882, -0.00692282514799633]","[0.49893894415779155, 0.5017563590578067, 0.5016990818399527, 0.49759272244347585]","[0.0013990277044767492, 0.006924634180220739, 0.9999750457701192, 0.6684712381630414, 0.9999981844064162, 0.001284077432686607, -0.0014079520652509547, 0.16223306902624707, -0.0012937949425183165, 0.9999751999857882, -0.00692282514799633, 0.6174275414845124, 0.0, 0.0, 0.0, 1.0]",True,True
4,"[-0.003366104170864963, -1.5805226064957334, 1.5655749507707217, 0.010239921954281883, 1.568897352063367, -0.0007413243082644126]","[0.6595758687187597, 0.16189680575268728, 0.6325606100507624]","[0.001470639478567968, -0.004706600986930107, 0.9999878424894344, 0.999998637166604, 0.0007571704824424268, -0.0014670916111731982, -0.0007502562623092219, 0.9999886372354491, 0.0047077080974205834]","[0.5017308835567208, 0.49900044110669506, 0.4986428639082419, 0.5006195906415396]","[0.001470639478567968, -0.004706600986930107, 0.9999878424894344, 0.6595758687187597, 0.999998637166604, 0.0007571704824424268, -0.0014670916111731982, 0.16189680575268728, -0.0007502562623092219, 0.9999886372354491, 0.0047077080974205834, 0.6325606100507624, 0.0, 0.0, 0.0, 1.0]",True,True
5,"[-0.0003463789127962488, -1.5615287831000495, 1.56799668083988, 0.01057972268386339, 1.567815893912597, -0.001646134758744763]","[0.6682304047731389, 0.16398434450270377, 0.618317271118991]","[-0.002661675587829834, 0.01704243509008379, 0.9998512243775398, 0.9999951855762069, 0.0016402240719650375, 0.0026341012511691634, -0.0015950885470139976, 0.9998534217930117, -0.01704671878494972]","[0.495462367314407, 0.5031761170616992, 0.5053089694545172, 0.4959775026981857]","[-0.002661675587829834, 0.01704243509008379, 0.9998512243775398, 0.6682304047731389, 0.9999951855762069, 0.0016402240719650375, 0.0026341012511691634, 0.16398434450270377, -0.0015950885470139976, 0.9998534217930117, -0.01704671878494972, 0.618317271118991, 0.0, 0.0, 0.0, 1.0]",True,True
6,"[-0.0014369392640498824, -1.577273459178575, 1.5657118125892862, 0.01174571071084157, 1.566809469432455, -0.0004986972482212606]","[0.6607111619410219, 0.16335935452207262, 0.6301867766527444]","[-0.0025500067425870384, 0.0001827920674099441, 0.9999967320209966, 0.9999966247431399, 0.0004984315271112672, 0.0025499153593998387, -0.000497963793947237, 0.9999998590765263, -0.00018406245419461592]","[0.499440777853173, 0.4992833925198433, 0.5008074731680561, 0.5004666604183742]","[-0.0025500067425870384, 0.0001827920674099441, 0.9999967320209966, 0.6607111619410219, 0.9999966247431399, 0.0004984315271112672, 0.0025499153593998387, 0.16335935452207262, -0.000497963793947237, 0.9999998590765263, -0.00018406245419461592, 0.6301867766527444, 0.0, 0.0, 0.0, 1.0]",True,True
7,"[0.0015171972609439996, -1.578440641237523, 1.5707793223770687, 0.01023590015646866, 1.5699909360029547, -0.01071520419639315]","[0.6592571127411327, 0.16501566972759335, 0.6277296560878185]","[-0.002350036534848097, 0.0025495410055035657, 0.9999939885664042, 0.9999398538425605, 0.01071887657895561, 0.0023225809358507717, -0.010712890627806284, 0.9999393009205839, -0.0025745774119819236]","[0.5014464733728131, 0.49736949652601786, 0.5038956961826984, 0.4972566194994065]","[-0.002350036534848097, 0.0025495410055035657, 0.9999939885664042, 0.6592571127411327, 0.9999398538425605, 0.01071887657895561, 0.0023225809358507717, 0.16501566972759335, -0.010712890627806284, 0.9999393009205839, -0.0025745774119819236, 0.6277296560878185, 0.0, 0.0, 0.0, 1.0]",True,True
8,"[-0.004495560974972719, -1.5735049296574577, 1.5723994983796918, 0.015638698850383253, 1.5764536276027474, -0.006920026788410699]","[0.6618773138634116, 0.16044552123061734, 0.6229027131648222]","[0.01005128160267502, 0.014602513126618775, 0.999842856827277, 0.9999249728688767, 0.0068542842291561, -0.010152212610181809, -0.00700145494308999, 0.9998698842339901, -0.014532523200979669]","[0.5005929091164925, 0.5044129064007231, 0.5028258957699625, 0.49207771514446513]","[0.01005128160267502, 0.014602513126618775, 0.999842856827277, 0.6618773138634116, 0.9999249728688767, 0.0068542842291561, -0.010152212610181809, 0.16044552123061734, -0.00700145494308999, 0.9998698842339901, -0.014532523200979669, 0.6229027131648222, 0.0, 0.0, 0.0, 1.0]",True,True
9,"[-0.003935088925213303, -1.570429656584039, 1.5574082038931623, 0.020906057127849022, 1.5744958563593239, 0.0002749624094720456]","[0.6643987870477394, 0.16098668910208763, 0.6303285739444116]","[0.0076365969705795705, 0.007882362015416724, 0.9999397735642717, 0.9999708105623347, -0.000305980197868447, -0.00763442200994568, 0.0002457844917108686, 0.9999688868885752, -0.007884468581154122]","[0.499861517870589, 0.503941228158007, 0.49998547264213256, 0.49618164885607546]","[0.0076365969705795705, 0.007882362015416724, 0.9999397735642717, 0.6643987870477394, 0.9999708105623347, -0.000305980197868447, -0.00763442200994568, 0.16098668910208763, 0.0002457844917108686, 0.9999688868885752, -0.007884468581154122, 0.6303285739444116, 0.0, 0.0, 0.0, 1.0]",True,True
