target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
0,5.605901654854261e-08,1.264405455326822e-07,1,1,1
1,8.98590409826449e-08,9.185692672385244e-08,1,1,1
2,5.372649924817949e-08,9.884312124119404e-08,1,1,1
3,1.629827647493293e-07,1.788139343261721e-07,1,1,1
4,3.319039946479512e-07,2.5895457263265276e-07,1,1,1
5,5.811991805123903e-08,7.884953353001449e-08,1,1,1
6,1.3816814757081905e-07,1.534168443230839e-07,1,1,1
7,1.0943002870277024e-07,1.6323404237781964e-07,1,1,1
8,5.622845547677784e-08,4.2146848510894035e-08,1,1,1
9,1.0619690320152056e-07,1.788139343261721e-07,1,1,1
10,8.292282027370893e-08,8.161702118890975e-08,1,1,1
11,7.132157037016862e-08,7.598131170262078e-08,1,1,1
12,2.759368761644366e-07,1.7377590819732272e-07,1,1,1
13,1.566459920679567e-07,1.7756782901008428e-07,1,1,1
14,7.607843871851433e-08,1.264405455326822e-07,1,1,1
15,5.050299773975192e-08,7.300048299977716e-08,1,1,1
16,2.074004576166866e-07,9.884312124119404e-08,1,1,1
17,1.2335810594752864e-07,1.591008641128439e-07,1,1,1
18,1.0143791703041235e-07,1.7249341164216756e-07,1,1,1
19,1.1053151177033786e-07,1.0106459234841571e-07,1,1,1
20,4.7374045258375664e-08,1.504943510645939e-07,1,1,1
21,9.422307792173933e-08,1.1542389828584848e-07,1,1,1
22,2.173185189271687e-07,2.346637211445519e-07,1,1,1
23,7.311503105047967e-08,5.16191365590357e-08,1,1,1
24,1.5376156966239022e-07,1.4136482746161737e-07,1,1,1
25,7.030747867858099e-08,1.0536712127723512e-07,1,1,1
26,1.3445271528292284e-07,4.712160915387242e-08,1,1,1
27,9.621316572695211e-08,1.0323827311807144e-07,1,1,1
28,7.514833410494083e-08,1.3978528260658483e-07,1,1,1
29,7.598066999522585e-08,8.688795409866128e-08,1,1,1
30,3.2013242397287345e-08,9.65705618025044e-08,1,1,1
31,6.263171716637157e-08,1.1733186057227575e-07,1,1,1
32,2.0748376094276078e-07,9.424321830774487e-08,1,1,1
33,1.3030368314364256e-07,2.3084779657169732e-07,1,1,1
34,9.590979950022711e-08,2.1900144899933185e-07,1,1,1
35,1.0496398565735393e-07,6.322027276634106e-08,1,1,1
36,1.971989411018368e-08,7.884953353001449e-08,1,1,1
37,1.0980231327271757e-07,4.2146848510894035e-08,1,1,1
38,9.981996208718448e-08,2.6739177770802997e-07,1,1,1
39,3.3811780652679055e-08,2.159383408157448e-07,1,1,1
40,9.674153466635346e-08,7.300048299977716e-08,1,1,1
41,6.638371253139245e-08,8.161702118890975e-08,1,1,1
42,6.869860056456704e-08,1.2287812309317777e-07,1,1,1
43,1.4380629537269796e-07,2.0431442857983876e-07,1,1,1
44,4.5990635587223985e-08,8.161702118890975e-08,1,1,1
45,8.191246262759229e-08,4.712160915387242e-08,1,1,1
46,8.741043039402953e-08,1.1920928955078133e-07,1,1,1
47,1.0438986019251225e-07,8.429369702178808e-08,1,1,1
48,1.3086989976751115e-07,1.659323085197815e-07,1,1,1
49,6.226698997280021e-08,8.429369702178808e-08,1,1,1
50,4.2179961192788175e-08,4.2146848510894035e-08,1,1,1
51,1.0023868691941338e-07,5.960464477539064e-08,1,1,1
52,1.6813628940180507e-07,1.3657139822709094e-07,1,1,1
53,6.805847535395595e-08,9.424321830774487e-08,1,1,1
54,5.912351795308113e-08,4.712160915387242e-08,1,1,1
55,1.1807569221247451e-07,7.884953353001449e-08,1,1,1
56,2.186210992795311e-07,1.9314112360500902e-07,1,1,1
57,9.794581734947508e-08,9.424321830774487e-08,1,1,1
58,3.3879772505655406e-07,1.1542389828584848e-07,1,1,1
